DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHI
2019.04,2271.20,907.50,2.16,85.72,0.43,2.22,1.00,1.00,2.50,5040.29,2013.94,0.42,2.72,1.09,0.31
2019.20,2339.60,884.90,2.13,87.91,0.44,2.22,1.00,1.00,2.64,5193.87,1964.46,0.45,2.72,1.09,0.31
2019.35,2352.30,845.60,2.05,87.56,0.49,2.24,1.00,1.00,2.78,5279.26,1897.78,0.44,2.72,1.09,0.29
2019.50,2390.60,851.80,2.05,90.87,0.49,2.25,1.00,1.00,2.81,5389.65,1920.40,0.48,2.73,1.09,0.29
2019.65,2375.30,902.10,2.07,94.95,0.47,2.26,1.00,1.00,2.63,5364.41,2037.31,0.53,2.73,1.09,0.29
2019.81,2412.10,903.20,2.14,95.59,0.49,2.26,1.00,1.00,2.67,5462.97,2045.59,0.54,2.74,1.09,0.29
2019.96,2459.30,897.40,2.17,97.25,0.49,2.26,1.00,1.00,2.74,5568.68,2032.02,0.55,2.74,1.09,0.29
2020.11,2434.90,917.10,2.15,94.76,0.50,2.27,1.00,1.00,2.65,5530.12,2082.91,0.53,2.73,1.09,0.28
2020.26,2438.20,869.20,2.14,97.80,0.49,2.28,1.00,1.00,2.81,5557.68,1981.27,0.56,2.74,1.09,0.28
2020.42,2439.50,972.40,2.16,100.91,0.49,2.28,1.00,1.00,2.51,5552.30,2213.18,0.60,2.75,1.09,0.28
2020.57,2352.40,968.90,2.21,106.68,0.48,2.28,1.00,1.00,2.43,5354.86,2205.55,0.66,2.76,1.09,0.29
2020.72,2301.70,970.40,2.25,106.22,0.46,2.27,1.00,1.00,2.37,5231.06,2205.42,0.66,2.76,1.09,0.29
2020.87,2439.10,888.80,2.22,101.61,0.49,2.25,1.00,1.00,2.74,5491.96,2001.25,0.60,2.75,1.09,0.30
2021.03,2444.20,914.00,2.20,93.31,0.50,2.25,1.00,1.00,2.67,5505.03,2058.59,0.51,2.73,1.09,0.29
2021.18,2492.90,874.40,2.20,93.64,0.50,2.28,1.00,1.00,2.85,5677.30,1991.35,0.51,2.73,1.09,0.28
2021.33,2479.80,890.30,2.23,93.04,0.47,2.28,1.00,1.00,2.79,5657.17,2031.04,0.51,2.73,1.09,0.27
2021.48,2462.10,890.30,2.25,101.29,0.48,2.29,1.00,1.00,2.77,5632.70,2036.80,0.60,2.75,1.09,0.28
2021.63,2338.90,812.80,2.28,102.64,0.48,2.28,1.00,1.00,2.88,5344.28,1857.21,0.62,2.75,1.09,0.28
2021.79,2328.80,900.50,2.28,108.23,0.47,2.29,1.00,1.00,2.59,5328.83,2060.55,0.68,2.76,1.09,0.28
2021.94,2311.40,869.90,2.29,108.71,0.46,2.30,1.00,1.00,2.66,5309.24,1998.14,0.68,2.76,1.09,0.28
2022.09,2342.60,809.50,2.30,111.52,0.44,2.32,1.00,1.00,2.89,5435.39,1878.23,0.72,2.76,1.09,0.27
2022.24,2501.40,809.50,2.34,113.88,0.44,2.35,1.00,1.00,3.09,5868.83,1899.27,0.74,2.77,1.09,0.25
2022.40,2778.10,866.40,2.35,113.89,0.45,2.33,1.00,1.00,3.21,6479.99,2020.90,0.74,2.77,1.09,0.26
2022.55,2795.60,855.90,2.32,113.50,0.46,2.32,1.00,1.00,3.27,6497.26,1989.20,0.74,2.77,1.09,0.26
2022.70,2673.20,946.20,2.28,113.04,0.49,2.35,1.00,1.00,2.83,6287.55,2225.53,0.73,2.77,1.09,0.25
2022.85,2673.10,905.40,2.31,105.91,0.45,2.36,1.00,1.00,2.95,6308.65,2136.79,0.65,2.75,1.09,0.24
2023.01,2613.90,902.80,2.37,95.89,0.44,2.37,1.00,1.00,2.90,6200.52,2141.56,0.54,2.74,1.09,0.22
2023.16,2609.00,859.20,2.39,86.05,0.44,2.37,1.00,1.00,3.04,6176.91,2034.19,0.43,2.72,1.09,0.22
2023.31,2618.60,881.00,2.31,94.53,0.51,2.32,1.00,1.00,2.97,6065.85,2040.79,0.52,2.73,1.09,0.25
2023.46,2825.50,936.20,2.32,100.07,0.45,2.36,1.00,1.00,3.02,6654.89,2205.03,0.59,2.74,1.09,0.23
2023.62,2629.40,902.70,2.43,104.09,0.36,2.45,1.00,1.00,2.91,6446.76,2213.24,0.63,2.75,1.09,0.18
2023.77,2649.80,948.70,2.56,102.03,0.27,2.55,1.00,1.00,2.79,6744.45,2414.70,0.61,2.75,1.09,0.12
2023.92,2558.70,951.30,2.52,106.78,0.32,2.50,1.00,1.00,2.69,6394.68,2377.48,0.66,2.76,1.09,0.15
2024.07,2575.60,871.10,2.44,112.54,0.40,2.42,1.00,1.00,2.96,6224.39,2105.16,0.73,2.77,1.09,0.21
2024.23,2460.30,926.60,2.38,110.68,0.47,2.37,1.00,1.00,2.66,5835.48,2197.76,0.71,2.76,1.09,0.23
2024.38,2432.00,1005.60,2.35,104.95,0.49,2.35,1.00,1.00,2.42,5704.98,2358.94,0.64,2.75,1.09,0.24
2024.53,2414.50,901.50,2.33,95.57,0.47,2.33,1.00,1.00,2.68,5630.83,2102.38,0.54,2.74,1.09,0.25
2024.68,2384.10,900.10,2.33,91.74,0.45,2.31,1.00,1.00,2.65,5510.59,2080.48,0.49,2.73,1.09,0.25
2024.84,2420.50,890.50,2.29,91.14,0.46,2.30,1.00,1.00,2.72,5567.48,2048.27,0.49,2.73,1.09,0.26
2024.99,2418.40,894.30,2.33,93.58,0.50,2.37,1.00,1.00,2.70,5739.01,2122.23,0.51,2.73,1.09,0.22
2025.14,2504.60,992.90,2.43,90.72,0.47,2.48,1.00,1.00,2.52,6222.93,2466.96,0.48,2.73,1.09,0.15
2025.29,2409.20,875.10,2.56,90.18,0.44,2.53,1.00,1.00,2.75,6091.67,2212.69,0.47,2.73,1.09,0.12
2025.44,2406.10,875.10,2.49,92.32,0.41,2.45,1.00,1.00,2.75,5890.48,2142.37,0.50,2.73,1.09,0.17
2025.60,2567.70,902.50,2.32,99.08,0.44,2.32,1.00,1.00,2.85,5955.44,2093.23,0.58,2.74,1.09,0.26
2025.75,2429.20,945.80,2.16,101.74,0.48,2.29,1.00,1.00,2.57,5556.44,2163.38,0.61,2.75,1.09,0.28
2025.90,2725.80,1049.30,2.12,100.87,0.48,2.29,1.00,1.00,2.60,6241.21,2402.56,0.60,2.75,1.09,0.28
2026.05,2414.40,961.30,2.20,100.65,0.44,2.29,1.00,0.98,2.51,5534.35,2203.51,0.59,2.74,1.09,0.27
2026.21,2383.30,977.10,2.34,94.70,0.42,2.34,1.00,0.96,2.44,5587.25,2290.65,0.53,2.73,1.09,0.24
