DEPTH,
2207.26,4
2207.41,4
2207.56,4
2207.72,4
2207.87,4
2208.02,4
2208.17,4
2208.32,4
2208.48,4
2208.63,4
2208.78,4
2208.93,4
2209.09,4
2209.24,4
2209.39,4
2209.54,4
2209.7,4
2209.85,4
2210,4
2210.15,4
2210.31,4
2210.46,4
2210.61,4
2210.76,4
2210.92,4
2211.07,4
2211.22,4
2211.37,4
2211.53,4
2211.68,4
2211.83,4
2211.98,4
2212.13,4
2212.29,4
2212.44,4
2212.59,4
2212.74,4
2212.9,4
2213.05,4
2213.2,4
2213.35,4
2213.51,4
2213.66,4
2213.81,4
2213.96,4
2214.12,4
2214.27,4
2214.42,4
2214.57,4
2214.73,4
2214.88,4
2215.03,4
2215.18,4
2215.34,4
2215.49,4
2215.64,4
2215.79,4
2215.94,4
2216.1,4
2216.25,4
2216.4,4
2216.55,4
2216.71,4
2216.86,4
2217.01,4
2217.16,4
2217.32,4
2217.47,4
2217.62,4
2217.77,4
2217.93,4
2218.08,4
2218.23,4
2218.38,4
2218.54,4
2218.69,4
2218.84,4
2218.99,4
2219.15,4
2219.3,4
2219.45,4
2219.6,4
2219.75,4
2219.91,4
2220.06,4
2220.21,4
2220.36,4
2220.52,4
2220.67,4
2220.82,4
2220.97,4
2221.13,4
2221.28,4
2221.43,4
2221.58,4
2221.74,4
2221.89,4
2222.04,4
2222.19,4
2222.35,4
2222.5,4
2222.65,4
2222.8,4
2222.96,4
2223.11,4
2223.26,4
2223.41,4
2223.56,4
2223.72,4
2223.87,4
2224.02,4
2224.17,4
2224.33,4
2224.48,4
2224.63,4
2224.78,4
2224.94,4
2225.09,4
2225.24,4
2225.39,4
2225.55,4
2225.7,4
2225.85,4
2226,4
2226.16,4
2226.31,4
2226.46,4
2226.61,4
2226.77,4
2226.92,4
2227.07,4
2227.22,4
2227.37,4
2227.53,4
2227.68,4
2227.83,4
2227.98,4
2228.14,4
2228.29,4
2228.44,4
2228.59,4
2228.75,4
2228.9,4
2229.05,4
2229.2,4
2229.36,4
2229.51,4
2229.66,4
2229.81,4
2229.97,4
2230.12,4
2230.27,4
2230.42,4
2230.58,4
2230.73,4
2230.88,4
2231.03,4
2231.18,4
2231.34,4
2231.49,4
2231.64,4
2231.79,4
2231.95,4
2232.1,4
2232.25,4
2232.4,4
2232.56,4
2232.71,4
2232.86,4
2233.01,4
2233.17,4
2233.32,4
2233.47,4
2233.62,4
2233.78,4
2233.93,4
2234.08,4
2234.23,4
2234.39,4
2234.54,4
2234.69,4
2234.84,4
2234.99,4
2235.15,4
2235.3,4
2235.45,4
2235.6,4
2235.76,4
2235.91,4
2236.06,4
2236.21,4
2236.37,4
2236.52,4
2236.67,4
2236.82,4
2236.98,4
2237.13,4
2237.28,4
2237.43,4
2237.59,4
2237.74,4
2237.89,4
2238.04,4
2238.2,4
2238.35,4
2238.5,4
2238.65,4
2238.8,4
2238.96,4
2239.11,4
2239.26,4
2239.41,4
2239.57,4
2239.72,4
2239.87,4
2240.02,4
2240.18,4
2240.33,4
2240.48,4
2240.63,4
2240.79,4
2240.94,4
2241.09,4
2241.24,4
2241.4,4
2241.55,4
2241.7,4
2241.85,4
2242.01,4
2242.16,4
2242.31,4
2242.46,4
2242.61,4
2242.77,4
2242.92,4
2243.07,4
2243.22,4
2243.38,4
2243.53,4
2243.68,4
2243.83,4
2243.99,4
2244.14,4
2244.29,4
2244.44,4
2244.6,4
2244.75,4
2244.9,4
2245.05,4
2245.21,4
2245.36,4
2245.51,4
2245.66,4
2245.82,4
2245.97,4
2246.12,4
2246.27,4
2246.42,4
2246.58,4
2246.73,4
2246.88,4
2247.03,4
2247.19,4
2247.34,4
2247.49,4
2247.64,4
2247.8,4
2247.95,4
2248.1,4
2248.25,4
2248.41,4
2248.56,4
2248.71,4
2248.86,4
2249.02,4
2249.17,4
2249.32,4
2249.47,4
2249.63,4
2249.78,4
2249.93,4
2250.08,4
2250.23,4
2250.39,4
2250.54,4
2250.69,4
2250.84,4
2251,4
2251.15,4
2251.3,4
2251.45,4
2251.61,4
2251.76,4
2251.91,4
2252.06,4
2252.22,4
2252.37,4
2252.52,4
2252.67,4
2252.83,4
2252.98,4
2253.13,4
2253.28,4
2253.44,4
2253.59,4
2253.74,4
2253.89,4
2254.04,4
2254.2,4
2254.35,4
2254.5,4
2254.65,4
2254.81,4
2254.96,4
2255.11,4
2255.26,4
2255.42,4
2255.57,4
2255.72,4
2255.87,4
2256.03,4
2256.18,4
2256.33,4
2256.48,4
2256.64,4
2256.79,4
2256.94,4
2257.09,4
2257.25,4
2257.4,4
2257.55,4
2257.7,4
2257.85,4
2258.01,4
2258.16,4
2258.31,4
2258.46,4
2258.62,4
2258.77,4
2258.92,4
2259.07,4
2259.23,4
2259.38,4
2259.53,4
2259.68,4
2259.84,4
2259.99,4
2260.14,4
2260.29,4
2260.45,4
2260.6,4
2260.75,4
2260.9,4
2261.06,4
2261.21,4
2261.36,4
2261.51,4
2261.66,4
2261.82,4
2261.97,4
2262.12,4
2262.27,4
2262.43,4
2262.58,4
2262.73,4
2262.88,4
2263.04,4
2263.19,4
2263.34,4
2263.49,4
2263.65,4
2263.8,4
2263.95,4
2264.1,4
2264.26,4
2264.41,4
2264.56,4
2264.71,4
2264.87,4
2265.02,4
2265.17,4
2265.32,4
2265.47,4
2265.63,4
